N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
118,씨에스윈드,"63,200",700,+1.12%,500,"26,652","42,171",10.98,"179,621",39.48,10.13
119,롯데쇼핑,"94,000",500,-0.53%,"5,000","26,591","28,289",10.82,"70,453",-9.10,-2.94
120,에스원,"69,800","1,000",-1.41%,500,"26,523","37,999",53.30,"63,271",20.56,9.13
121,동서,"26,500",350,+1.34%,500,"26,420","99,700",2.94,"53,456",23.31,8.05
122,키움증권,"100,500",600,+0.60%,"5,000","26,351","26,220",25.32,"68,464",3.06,25.38
123,한화에어로스페이스,"52,000",500,-0.95%,"5,000","26,328","50,630",21.28,"220,993",10.42,9.21
124,BNK금융지주,"7,980",0,0.00%,"5,000","26,010","325,935",39.99,"1,197,953",3.29,8.76
125,하이트진로,"36,850",100,-0.27%,"5,000","25,844","70,134",8.28,"334,476",36.59,6.62
126,CJ,"88,000",0,0.00%,"5,000","25,676","29,177",17.54,"58,118",11.41,5.66
127,OCI,"107,000",0,0.00%,"5,000","25,519","23,849",14.52,"188,319",3.94,23.93
128,한솔케미칼,"224,500","4,500",+2.05%,"5,000","25,448","11,335",38.50,"59,698",17.15,23.88
129,두산퓨얼셀,"38,600",250,-0.64%,100,"25,281","65,494",14.48,"375,219",364.15,1.69
130,신세계,"254,000","1,000",-0.39%,"5,000","25,007","9,845",26.09,"35,736",8.15,8.54
131,만도,"52,600","1,000",+1.94%,"1,000","24,699","46,957",18.88,"1,250,380",14.78,9.31
132,효성첨단소재,"520,000","4,000",-0.76%,"5,000","23,296","4,480",7.15,"25,869",9.29,54.69
133,SK케미칼,"131,000","1,500",-1.13%,"5,000","23,083","17,621",18.59,"38,690",15.37,11.19
134,한화,"30,700",150,+0.49%,"5,000","23,012","74,959",16.19,"176,437",3.34,20.22
135,영원무역,"50,800",100,-0.20%,500,"22,510","44,311",28.21,"89,999",7.55,14.71
136,녹십자,"192,500","1,500",+0.79%,"5,000","22,497","11,687",22.36,"25,852",18.26,10.30
137,대한전선,"1,800",5,+0.28%,100,"22,401","1,244,473",2.66,"18,101,895",60.00,7.78
138,KODEX 레버리지,"19,445",190,-0.97%,0,"22,245","114,400",2.24,"12,219,260",N/A,N/A
